Invoice No.,Date,Customer Name,Customer Id,Customer Type,Customer Type,Rep,CSR,Qty of Items, Ext. Amount,Freight Amount,Ship Via,Ship Via Description,Ship From,Ship to City,Ship to State,Freight Comment
493739,43832,SUMMIT LIGHTING,SUMMNEW,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,METR,Verenis Cervantes,2,48.95,9.12,FEDEXG,FedEx Ground,1PW,New York,NY,
493740,43832,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,3,19.47,0,UPSG,UPS Ground,1PW,New York,NY,USE UPS ACCT#T3301T
493741,43832,"BELLACOR.COM, INC.",BELLMEN,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,10.58,14.21,FEDEXH,FedEx Home Delivery,1PW,West Roxbury,MA,
493742,43832,US ELECT - MONARCH NEW YORK,MONANYO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,149.95,0,FEDEXG,FedEx Ground,1PW,Kearny,NJ,DO NOT CHARGE FREIGHT
493743,43832,HIGH COUNTRY MILLWORK,HIGHLON,DISW,DISPLAY RETAILER/PRODUCER - WOOD,FALV,Dee Erdei,1,10,12.03,FEDEXG,FedEx Ground,1PW,Longmont,CO,
493744,43832,SUMMIT LIGHTING,SUMMNEW,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,METR,Verenis Cervantes,7,1575,0,FEDEXG,FedEx Ground,1PW,New York,NY,
493745,43832,WOLFERS LIGHTING INC,WOLFALL,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,ESSL,Verenis Cervantes,1,240,10.14,FEDEXG,FedEx Ground,1PW,Waltham,MA,
493746,43832,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,3,104.7,0,FEDEXH,FedEx Home Delivery,1PW,Atlantic City,NJ,USE FEDEX ACCT# 876058081   LIGHTHOUSE
493747,43832,ADCOMM DIGITEL,ADCOFAI,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,FFDI,Gabriel O'Reilly,1,1320,45.37,FEDEXG,FedEx Ground,1PW,Fairfax,VA,
493748,43832,VILLA LIGHTING SUPPLY,VILLALS,DIST,LIGHTING DISTRIBUTOR,GATE,Veronica Garcia,3,355,0,UPSG,UPS Ground,1PW,Biloxi,MS,USE UPS ACCT#670455
493749,43832,M & M ELECTRICAL SUPPLY,MMELECT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SWAN,Verenis Cervantes,6,3354,29.59,FEDEXG,FedEx Ground,1PW,Nashua,NH,
493750,43832,LAMPS PLUS - INTERNET ACCOUNTS,LPLUCHA,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,JGEC,Maria Hernandez,1,134.26,41.81,FEDEXH,FedEx Home Delivery,2LA,Elkridge,MD,
493751,43832,"STYLMARK, INC.",STYLMIN,DISM,DISPLAY RETAILER/PRODUCER - METAL,DEND,Dee Erdei,1,1447.5,0,UPSG,UPS Ground,2LA,Minneapolis,MN,UPS ACCT # 563392
493752,43832,LAMPS PLUS - INTERNET ACCOUNTS,LPLUCHA,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,JGEC,Maria Hernandez,1,67.13,19.1,FEDEXH,FedEx Home Delivery,2LA,Hermosa Beach,CA,
493753,43832,LIGHTING JUNGLE,CHUINYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,6.26,15.22,FEDEXG,FedEx Ground,2LA,New York,NY,
493754,43832,LIGHTING BY DESIGN,LDESEXT,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,LMLA,Gabriel O'Reilly,1,100,85.89,FEDEXG,FedEx Ground,2LA,Exton,PA,
493755,43832,LIGHTING FRONT,LFROSOA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,20.7,0,FEDEXG,FedEx Ground,2LA,Bloomington,IL,USE FED/X 902651888
493756,43832,LAMPS PLUS - INTERNET ACCOUNTS,LPLUCHA,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,JGEC,Maria Hernandez,1,67.13,40.74,FEDEXH,FedEx Home Delivery,2LA,Deland,FL,
493757,43832,THE SOURCE GROUP,SOURGRE,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,CHES,Manny Estevez,2,9.9,12.23,FEDEXG,FedEx Ground,2LA,Greenville,SC,
493758,43832,REXEL CAPITOL LIGHT,CAPITO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,METR,Dee Erdei,3,202.7,22.41,FEDEXG,FedEx Ground,2LA,Atlantic City,NJ,
493759,43832,D2S INC.,D2STORO,REP,CURRENT REP,SGRO,Karine Adrien,1,1260,0,UPSSC,UPS Standard To Canada,2LA,TORONTO,ON,USE UPS ACCT# R-40674
493760,43832,D2S INC.,D2STORO,REP,CURRENT REP,SGRO,Karine Adrien,1,84,0,UPSSC,UPS Standard To Canada,2LA,ETOBICOKE,ON,DO NOT CHARGE FREIGHT    / SHIP COMBINE WITH   503674
493761,43832,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,1,91.6,15.22,FEDEXG,FedEx Ground,2LA,Ridgefield Park,NJ,
493762,43832,FSG LIGHTING - DALLAS,FSGLDAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,4,1279.7,33.61,FEDEXG,FedEx Ground,2LA,Stephenville,TX,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CAN BE   
DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS"
493763,43832,LAMPS PLUS - INTERNET ACCOUNTS,LPLUCHA,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,JGEC,Maria Hernandez,1,201.39,50.11,FEDEXH,FedEx Home Delivery,2LA,Fort Collins,CO,
493764,43832,LIGHTING FRONT,LFROSOA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,41.4,0,FEDEXG,FedEx Ground,2LA,Eva,AL,USE FED/X 902651888
493765,43832,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,3.56,0,FEDEXG,FedEx Ground,2LA,Seattle,WA,USE FED/X 124454549
493766,43833,"INCOLIGHT GROUP, LLC",JNPTJCI,DIST,LIGHTING DISTRIBUTOR,NYCS,Edwin Ma,2,108,0,DELIVERY,Delivery,1PW,New York,NY,
493767,43833,"YY LIGHTING & DECOR, INC.",YYLDFLU,FURN,FURNITURE STORE,AYIN,Edwin Ma,2,1008,0,DELIVERY,Delivery,1PW,Flushing,NY,
493768,43833,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,1,90,0,DELIVERY,Delivery,1PW,Maspeth,NY,
493769,43833,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,1,4.8,0,DELIVERY,Delivery,1PW,Maspeth,NY,
493770,43833,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,37.9,0,UPSG,UPS Ground,1PW,Denver,CO,USE UPS ACCT#T3301T
493771,43833,E.D. SUPPLY,EDSUSAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LENV,Verenis Cervantes,1,124.6,13.03,FEDEXG,FedEx Ground,1PW,Centreville,MD,
493772,43833,ACCENT LIGHTING INC,ACCEWIC,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,MIKE,Veronica Garcia,1,52.5,12.93,FEDEXG,FedEx Ground,1PW,Wichita,KS,
493773,43833,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,17.78,0,FEDEXG,FedEx Ground,1PW,NEW YORK,NY,USE FED/X 124454549
493774,43833,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,7.99,0,UPSG,UPS Ground,1PW,Forest Hills,NY,USE UPS ACCT#T3301T
493775,43833,"UNBEATABLESALE.COM, INC.",UNBELAK,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,82.88,0,FEDEXG,FedEx Ground,1PW,Houston,TX,FEDEX Account #312721961
493776,43833,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,VCER,Verenis Cervantes,1,47.88,0,UPSG,UPS Ground,1PW,Bellevue,IA,SHIP VIA UPS ACCT# 5X6-190
493777,43833,VIKING ELECTRIC - SHEBOYGAN,VIKISHE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLAZ,Gabriel O'Reilly,1,95,193.99,FEDEXG,FedEx Ground,1PW,Sheboygan,WI,
493778,43833,LIGHTING JUNGLE,CHUINYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,35.1,15.21,FEDEXG,FedEx Ground,1PW,UNIVERSITY PARK,MD,
493779,43833,"INCOLIGHT GROUP, LLC",JNPTJCI,DIST,LIGHTING DISTRIBUTOR,NYCS,Edwin Ma,1,0,0,FEDEXG,FedEx Ground,1PW,Ridgefield,NJ,DO NOT CHARGE FREIGHT
493780,43833,F & M ELECTRICAL SUPPLY,FMELDAN,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,ESSL,Verenis Cervantes,1,368.99,12.59,FEDEXG,FedEx Ground,1PW,Danbury,CT,
493781,43833,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,JGEC,Verenis Cervantes,1,0,0,FEDEXG,FedEx Ground,1PW,Minneapolis,MN,DO NOT CHARGE FREIGHT
493782,43833,REGENCY LIGHTING,REGENC,DIST,LIGHTING DISTRIBUTOR,FAAS,Maria Hernandez,1,36.08,0,UPSG,UPS Ground,1PW,Kennesaw,GA,USE UPS ACCT#535W4E
493783,43833,"SYNTEGON PHARMA TECH, INC.",EISAALL,MANF,MANUFACTURER,NYCS,Edwin Ma,1,3.95,0,UPSG,UPS Ground,1PW,Allendale,NJ,USE UPS ACCT# 5621F9
493784,43833,FABIAN ALVAREZ,FALV,REP,CURRENT REP,REP,Dee Erdei,2,0,0,FEDEXES,FedEx Express Saver,1PW,City of Industry,CA,DO NOT CHARGE FREIGHT
493785,43833,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,135,0,FEDEXG,FedEx Ground,1PW,New City,NY,USE FED/X 124454549
493786,43833,GILBERT DISPLAYS,GILBER,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,HLIT,Dee Erdei,2,975.88,13,FEDEXG,FedEx Ground,1PW,MELVILLE,NY,
493787,43833,NYCS,NYCS,REP,CURRENT REP,REP,Edwin Ma,5,7.10543E-15,0,FEDEXG,FedEx Ground,1PW,New York,NY,DO NOT CHARGE FREIGHT
493788,43833,MODERN SPACE PACIFIC SERVICES,MODEVIC,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,FALV,Dee Erdei,4,0,0,PICKUP,Pick Up,2LA,Ontario,CA,
493789,43833,SEE'S CANDIES,SEESSAN,RETL,RETAILER - NOT DEPT STORE OR HOME CENTER,FALV,Dee Erdei,2,27,9.59,FEDEXG,FedEx Ground,2LA,Elk Grove,CA,
493790,43833,"NAKAMURA-BEEMAN, INC",NAKASAN,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,FALV,Dee Erdei,5,193,0,FEDEXG,FedEx Ground,2LA,Santa Fe Springs,CA,FED EX # 1410-4343-9
493792,43833,GRAYBAR - EUGENE,GRAYEUG,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SOLU,Veronica Garcia,9,3707.3,21.87,FEDEXG,FedEx Ground,2LA,Springfield,OR,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CAN BE   
DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS"
493793,43833,NYCS,NYCS,REP,CURRENT REP,REP,Edwin Ma,7,1.42109E-14,0,FEDEXG,FedEx Ground,1PW,Hackettstown,NJ,DO NOT CHARGE FREIGHT
493794,43833,FSG LIGHTING - DALLAS,FSGLDAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,2,1458.6,20.8,FEDEXG,FedEx Ground,1PW,Stephenville,TX,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CAN BE   
DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS"
493795,43833,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,26.1,0,FEDEXG,FedEx Ground,2LA,Etters,PA,USE FED/X 124454549
493796,43833,CRESCENT ELECTRIC - RAPID CITY,CRESRAP,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LUFX,Veronica Garcia,5,865.25,47.63,FEDEXG,FedEx Ground,2LA,Rapid City,SD,
493797,43833,"NAKAMURA-BEEMAN, INC",NAKASAN,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,FALV,Dee Erdei,1,1359.2,0,FEDEXG,FedEx Ground,1PW,Santa Fe Springs,CA,FED EX # 1410-4343-9
493798,43833,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,1,3829.5,35.67,FEDEXG,FedEx Ground,1PW,Fort Worth,TX,
493799,43833,KRELL LIGHTING,KRELPRI,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,PBLD,Edwin Ma,3,2279.7,12.1,FEDEXG,FedEx Ground,1PW,Park Ridge,NJ,
493800,43833,JESCO LIGHTING GROUP,DALLAS,JESC,JESCO HOUSE ACCOUNT,HSLA,Maria Hernandez,2,0,0,UPSNS,UPS Next Day Air Saver,1PW,Dallas,TX,DO NOT CHARGE FREIGHT
493801,43833,"UNBEATABLESALE.COM, INC.",UNBELAK,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,15.9,0,FEDEXG,FedEx Ground,1PW,Jamestown,NY,FEDEX Account #312721961
493802,43833,CED - DENVER,CEDDEN,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,PURE,Veronica Garcia,3,460,13.94,FEDEXG,FedEx Ground,2LA,Denver,CO,
493803,43833,JOSE GUTIERREZ,JGUT,REP,CURRENT REP,REP,Karine Adrien,7,0,0,UPS2,UPS 2nd Day Air,1PW,Dallas,TX,DO NOT CHARGE FREIGHT
493808,43833,FSG LIGHTING - BENSENVILLE,FSGBENS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SGRO,Gabriel O'Reilly,1,79,13.77,FEDEXG,FedEx Ground,2LA,Lombard,IL,
493809,43833,MAIN PLACE LIGHTING,MAINLON,DIST,LIGHTING DISTRIBUTOR,FALV,Dee Erdei,3,126,12.1,FEDEXG,FedEx Ground,2LA,Canyon Lake,CA,
493810,43833,FSG LIGHTING - DALLAS,FSGLDAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,5,427.2,16.93,FEDEXG,FedEx Ground,2LA,Irving,TX,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CAN BE   
DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS"
493811,43833,FSG LIGHTING - DALLAS,FSGLDAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,6,1475,25.73,FEDEXG,FedEx Ground,2LA,Irving,TX,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CAN BE   
DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS"
493812,43836,"LEE & LEE SUPPLIES, INC.",GRANT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,4,2506,0,DELIVERY,Delivery,1PW,Long Island City,NY,
493813,43836,"YY LIGHTING & DECOR, INC.",YYLDFLU,FURN,FURNITURE STORE,AYIN,Edwin Ma,1,36,0,DELIVERY,Delivery,1PW,Flushing,NY,
493814,43836,"NEW BULBS WORLD, INC.",BULBSWI,BULB,LIGHT BULB SPECIALIST - WHOLESALE/RETAIL,AYIN,Edwin Ma,7,330.5,0,DELIVERY,Delivery,1PW,New York,NY,
493815,43836,LENDY ELECTRICAL LTG SHOWROOM,LENDYEL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,2,0,0,DELIVERY,Delivery,1PW,New York,NY,
493816,43836,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,5,3623.32,0,DELIVERY,Delivery,1PW,Brooklyn,NY,
493817,43836,FSG LIGHTING - BENSENVILLE,FSGBENS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SGRO,Gabriel O'Reilly,1,110,14.96,FEDEXG,FedEx Ground,1PW,Lombard,IL,
493818,43836,DANIEL DEMARCO & ASSOCIATES,AMWOOD,ARCH,ARCHITECT,HLIT,Dee Erdei,19,2454.09,0,UPSG,UPS Ground,1PW,Amityville,NY,
493819,43836,LIGHTING JUNGLE,CHUINYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,15.76,15.27,FEDEXG,FedEx Ground,1PW,Clayton,GA,
493820,43836,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,37.9,0,FEDEXH,FedEx Home Delivery,1PW,New York,NY,USE FEDEX ACCT# 876058081    LIGHTHOUSE
493821,43836,DANIEL DEMARCO & ASSOCIATES,AMWOOD,ARCH,ARCHITECT,HLIT,Dee Erdei,5,694.06,0,UPSG,UPS Ground,1PW,Amityville,NY,
493822,43836,REXEL CAPITOL LIGHT,CAPITO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,METR,Dee Erdei,1,52.5,10.19,FEDEXG,FedEx Ground,1PW,"TINTON FALLS,",NJ,
493823,43836,DANIEL DEMARCO & ASSOCIATES,AMWOOD,ARCH,ARCHITECT,HLIT,Dee Erdei,5,347.03,0,UPSG,UPS Ground,1PW,Amityville,NY,
493824,43836,IDX - DAYTON,IDXDAYT,DISW,DISPLAY RETAILER/PRODUCER - WOOD,DEND,Dee Erdei,4,6150,0,FEDEXG,FedEx Ground,1PW,Dayton,OH,FEDEX ACCT # 3453-0023-6
493825,43836,LIGHTING JUNGLE,CHUINYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,11.48,14.18,FEDEXG,FedEx Ground,1PW,New York,NY,
493826,43836,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,333.36,0,FEDEXH,FedEx Home Delivery,1PW,Boise,ID,USE FEDEX ACCT# 876058081   LIGHTHOUSE
493827,43836,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,0,0,UPSG,UPS Ground,1PW,Twisp,WA,SHIP WITH UPS ACCT#Y36935
493828,43836,S & J LIGHTING,SJLILOU,DESI,DESIGNER/INTERIOR DECORATOR,ENLS,Karine Adrien,1,27.65,12.87,FEDEXG,FedEx Ground,1PW,Cincinnati,OH,
493829,43836,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,0,0,UPSG,UPS Ground,1PW,American Fork,UT,DO NOT CHARGE FREIGHT
493830,43836,IDX - DAYTON,IDXDAYT,DISW,DISPLAY RETAILER/PRODUCER - WOOD,DEND,Dee Erdei,1,245,0,FEDEXG,FedEx Ground,1PW,St Louis,MO,FEDEX ACCT # 3453-0023-6
493831,43836,CRESCENT ELECTRIC - RAPID CITY,CRESRAP,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LUFX,Veronica Garcia,2,17.7,12.54,FEDEXG,FedEx Ground,1PW,Rapid City,SD,
493833,43836,"UNBEATABLESALE.COM, INC.",UNBELAK,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,5,0,USPSEM,USPS Express Mail,1PW,Cleveland,OH,
493834,43836,"UNBEATABLESALE.COM, INC.",UNBELAK,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,167.6,0,FEDEXG,FedEx Ground,1PW,Cape Coral,FL,FEDEX Account #312721961
493836,43836,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,23.4,0,UPSG,UPS Ground,1PW,Pikesville,MD,USE UPS ACCT#T3301T
493837,43836,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,2,46.58,0,UPSG,UPS Ground,1PW,Sterling Heights,MI,USE UPS ACCT#T3301T
493838,43836,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,8.78,0,FEDEXG,FedEx Ground,1PW,Mason,OH,USE FED/X 124454549
493839,43836,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,11.48,0,FEDEXG,FedEx Ground,1PW,Essex,NY,USE FED/X 124454549
