Invoice No.,Date,Customer Name,Customer Id,Customer Type,Customer Type Description,Rep,CSR,Qty of Items P/Invoice, Ext. Amount,Freight Amount,Ship Via,Ship Via Description,Ship From,Ship to City,Ship to State,Int'l,Freight Comment,QUESTIONS FOR CSR
475986,43467,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,27.79,0,UPSG,UPS Ground,2LA,Palm Springs,CA,,USE UPS ACCT#T3301T,
475987,43467,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,78.4,0,UPSG,UPS Ground,2LA,Venice,FL,,SHIP VIA UPS ACCT # Y36935,
475988,43467,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,26.8,0,UPSG,UPS Ground,1PW,Buckhannon,WV,,USE UPS ACCT.# T3301T,
476652,43480,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,480,14.2,FEDEXG,FedEx Ground,2LA,Sanramon,CA,,,
477023,43487,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,369.6,25.59,FEDEXG,FedEx Ground,1PW,Punta Gorda,FL,,,
477471,43494,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,2,0,0,FEDEXG,FedEx Ground,2LA,Trenton,NJ,,"DO NOT CHARGE FREIGHT                             
",
477505,43495,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,6,0,0,FEDEXG,FedEx Ground,1PW,Trenton,NJ,,"DO NOT CHARGE FREIGHT                             
",
477616,43496,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,6,0,0,FEDEXG,FedEx Ground,1PW,Trenton,NJ,,,
475994,43467,EXPOSURE,ELECHOL,REP,CURRENT REP,SGRO,Verenis Cervantes,1,5,29.66,FEDEXPO,FedEx Priority Overnight,1PW,Amherst,MA,,,
477709,43500,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,0,0,FEDEXG,FedEx Ground,1PW,San Antonio,TX,,"DO NOT CHARGE FREIGHT                             
",
477885,43502,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,369.6,25.59,FEDEXG,FedEx Ground,1PW,Punta Gorda,FL,,,
478398,43511,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,2,50,18.68,FEDEXG,FedEx Ground,1PW,Sugar Land,TX,,,
478910,43522,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,DENB,Verenis Cervantes,1,0,0,FEDEXG,FedEx Ground,1PW,Everett,WA,,"DO NOT CHARGE FREIGHT                             
",
475999,43467,"UNBEATABLESALE.COM, INC.",UNBELAK,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,2.25,0,FEDEXG,FedEx Ground,1PW,Brentwood,NY,,USE FEDEX #312721961,
479032,43523,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSLA,Verenis Cervantes,2,50,0,FEDEXG,FedEx Ground,1PW,Sugar Land,TX,,,
476001,43467,"BELLACOR.COM, INC.",BELLMEN,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,28.37,0,UPSG,UPS Ground,1PW,Nashville,TN,,SHIP VIA UPS ACCOUNT # A79R63,
476002,43467,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,77.76,0,FEDEXG,FedEx Ground,1PW,Oakland,CA,,USE FEDEX ACCT# 124454549,
479232,43528,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,0,0,FEDEXG,FedEx Ground,1PW,Amityville,NY,,"DO NOT CHARGE FREIGHT                             
",
479380,43530,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,0,0,FEDEXG,FedEx Ground,1PW,Hendersonville,NC,,"DO NOT CHARGE FREIGHT                             
",
479429,43530,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSLA,Verenis Cervantes,3,1040,0,FEDEXG,FedEx Ground,2LA,Sanramon,CA,,,
481260,43564,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,16,32.79,FEDEXG,FedEx Ground,1PW,Oakland,CA,,,
476007,43467,OVERSTOCK.COM,OVERSLC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,97.92,0,UPSG,UPS Ground,2LA,Jacksonville,FL,,SHIP VIA UPS ACCOUNT #4F4030,
476008,43467,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Verenis Cervantes,1,62.4,0,UPSG,UPS Ground,2LA,Lynbrook,NY,,SHIP VIA UPS ACCT# 5X6-190,
481388,43566,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,16,27.28,FEDEXG,FedEx Ground,2LA,Oakland,CA,,,
476010,43467,OVERSTOCK.COM,OVERSLC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,134.26,0,UPSG,UPS Ground,2LA,York,PA,,SHIP VIA UPS ACCOUNT #4F4030,
482484,43588,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,50,11.12,FEDEXG,FedEx Ground,2LA,Tualatin,OR,,,
476013,43468,"LEE & LEE SUPPLIES, INC.",GRANT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,18,2603.1,0,DELIVERY,Delivery,1PW,Long Island City,NY,,,
476014,43468,"BELL ELECTRICAL SUPPLIES,INC.",BELL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,720,0,DELIVERY,Delivery,1PW,Woodside,NY,,,
476015,43468,LENDY ELECTRICAL LTG SHOWROOM,LENDYEL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,2,47.2,0,DELIVERY,Delivery,1PW,New York,NY,,,
476016,43468,LENDY ELECTRICAL LTG SHOWROOM,LENDYEL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,5,1424.46,0,DELIVERY,Delivery,1PW,New York,NY,,,
476017,43468,ALIBABA LIGHTING FURNITURE INC,ALIBFLU,DIST,LIGHTING DISTRIBUTOR,AYIN,Edwin Ma,11,719.59,0,DELIVERY,Delivery,1PW,Flushing,NY,,,
482616,43593,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,INAL,Verenis Cervantes,5,888.25,0,FEDEXG,FedEx Ground,1PW,Fort Lauderdale,FL,,,
482660,43593,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,INAL,Verenis Cervantes,2,387.5,0,FEDEXG,FedEx Ground,2LA,Fort Lauderdale,FL,,,
476020,43468,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Verenis Cervantes,1,27.2,0,UPSG,UPS Ground,1PW,Navarre,FL,,SHIP VIA UPS ACCT# 5X6-190,
476021,43468,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Verenis Cervantes,1,16.68,0,UPSG,UPS Ground,1PW,Baldwin,NY,,SHIP VIA UPS ACCT# 5X6-190,
476022,43468,ALLIED TRADE GROUP,ALLIKIR,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,2,43.11,0,UPSG,UPS Ground,1PW,Lincoln,NE,,USE UPS ACCT# 442E1W,
476023,43468,REGENCY LIGHTING,REGENC,DIST,LIGHTING DISTRIBUTOR,FAAS,Maria Hernandez,1,40,0,UPSG,UPS Ground,1PW,Altoona,IA,,USE UPS# 535W4E,
482700,43594,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,FAAS,Verenis Cervantes,2,384,36,FEDEXG,FedEx Ground,1PW,La Jolla,CA,,,
482744,43595,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,6,457.2,38.35,FEDEXG,FedEx Ground,1PW,Miami,FL,,,
482764,43595,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,174,14.74,FEDEXG,FedEx Ground,1PW,Miami,FL,,,
483060,43602,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,2,0,0,FEDEXG,FedEx Ground,1PW,Phoenix,AZ,,"DO NOT CHARGE FREIGHT                             
",
476028,43468,OVATION IN-STORE,OVATMAS,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,IRAM,Dee Erdei,3,437.04,0,UPSG,UPS Ground,1PW,Maspeth,NY,,"UPS ACCT # 193999
",
476029,43468,LOEB ELECTRIC,LOEBCOL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,DEND,Dee Erdei,1,126,0,FEDEXG,FedEx Ground,1PW,Columbus,OH,,FEDEX ACCT # 8942-3044-4,
476030,43468,"UNBEATABLESALE.COM, INC.",UNBELAK,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,15,0,FEDEXG,FedEx Ground,1PW,Brooklyn,NY,,USE FEDEX #312721961,
476031,43468,ALLIED TRADE GROUP,ALLIKIR,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,2,26.7,0,UPSG,UPS Ground,1PW,Tarboro,NC,,USE UPS ACCT#442E1W,
476032,43468,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,7.16,0,UPSG,UPS Ground,1PW,Lutz,FL,,USE UPS ACCT#T3301T,
483924,43621,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,2,0,0,FEDEXG,FedEx Ground,2LA,Pompano Beach,FL,,"DO NOT CHARGE FREIGHT                             
",
484736,43637,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,12.88,14.13,FEDEXG,FedEx Ground,1PW,New York,NY,,,
484786,43637,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,972,39.38,FEDEXG,FedEx Ground,1PW,Redwood City,CA,,,
476036,43468,REXEL CAPITOL LIGHT,CAPITO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,METR,Dee Erdei,2,2902.2,0,UPSG,UPS Ground,1PW,Danbury,CT,,UPS ACCT # V9E712,
484945,43642,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,12.88,14.1,FEDEXG,FedEx Ground,1PW,New York,NY,,,
485057,43643,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSLA,Verenis Cervantes,2,0,0,FEDEXG,FedEx Ground,2LA,Murrieta,CA,,"DO NOT CHARGE FREIGHT                             
",
476039,43468,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,106.38,0,UPSG,UPS Ground,1PW,Charlotte,NC,,USE UPS ACCT#T3301T,
476040,43468,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,2,45,0,UPSG,UPS Ground,1PW,Annandale,NJ,,USE UPS ACCT#T3301T,
485095,43644,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CHES,Verenis Cervantes,3,160.85,13.13,FEDEXG,FedEx Ground,1PW,Ormond Beach,FL,,,
476042,43468,CHUANG YE ELECTRICAL SUPPLY,CHUANG,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,AYIN,Edwin Ma,3,58.71,0,UPSG,UPS Ground,2LA,San Jose,CA,,USE UPS ACCT# 4853VR,
485471,43655,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,4,1284,163.58,FEDEXG,FedEx Ground,1PW,Dallas,TX,,,
486207,43671,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CSNA,Verenis Cervantes,1,939.8,67.72,FEDEXG,FedEx Ground,1PW,Miami,FL,,,
476045,43468,"WESCO DISTRIBUTION, INC",WESCDAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,1,210,0,UPSG,UPS Ground,1PW,Maumee,OH,,USE UPS# 753637,
486238,43671,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CHES,Verenis Cervantes,7,556.85,106.99,FEDEXG,FedEx Ground,1PW,Ormond Beach,FL,,,
476047,43468,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,MWOL,Karine Adrien,2,0,0,UPSG,UPS Ground,1PW,Cranbury,NJ,,,
486731,43682,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,11.88,13.84,FEDEXG,FedEx Ground,1PW,New York,NY,,,
476255,43473,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,20,4969.49,18,SF EXPRESS,,1PW,Guangdong,,Intl,,
487786,43703,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,4,409.5,37.36,FEDEXG,FedEx Ground,2LA,Miami,FL,,,
476287,43473,"SHANGHAI PEIZE ENT. CO., LTD.",PEIZSHA,DISW,DISPLAY RETAILER/PRODUCER - WOOD,IRAM,Dee Erdei,1,29.86,213.48,FEDEXIE,FedEx International Economy,1PW,Shanghai,,Intl,,
488195,43712,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,10,16.26,FEDEXG,FedEx Ground,1PW,Everett,WA,,,
488271,43713,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,4,409.5,37.36,FEDEXG,FedEx Ground,2LA,Miami,FL,,,
476055,43468,ALL PHASE - MARQUETTE,ALLPMAR,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLAZ,Gabriel O'Reilly,3,370,60.39,FEDEXSO,FedEx Standard Overnight,1PW,Baraga,MI,,,
476312,43474,"SHANGHAI PEIZE ENT. CO., LTD.",PEIZSHA,DISW,DISPLAY RETAILER/PRODUCER - WOOD,IRAM,Dee Erdei,7,307.25,7,SF EXPRESS,,1PW,Shanghai,,Intl,,
488373,43714,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,18.45,11.55,FEDEXG,FedEx Ground,1PW,Miami,FL,,,
488847,43725,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,151.8,22.35,FEDEXG,FedEx Ground,2LA,New York,NY,,,
489379,43735,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CHES,Verenis Cervantes,4,315.95,17.06,FEDEXG,FedEx Ground,1PW,Bartow,FL,,,
476061,43468,VILLA LIGHTING SUPPLY,VILLALS,DIST,LIGHTING DISTRIBUTOR,GATE,Veronica Garcia,2,1620,28.92,FEDEXG,FedEx Ground,2LA,Saint Louis,MO,,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CHARGES   
MAYBE DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS",
476065,43469,"BELL ELECTRICAL SUPPLIES,INC.",BELL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,4,448,0,DELIVERY,Delivery,1PW,Woodside,NY,,,
476068,43469,EXPRESSIVE LTG,LAURA,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,7,5248.43,0,DELIVERY,Delivery,1PW,New Rochelle,NY,,,
476069,43469,EXPRESSIVE LTG,LAURA,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,7,5248.43,0,DELIVERY,Delivery,1PW,New Rochelle,NY,,,
476070,43469,R. BDELAA LIGHTING INC,RBDEFOR,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,AYIN,Edwin Ma,2,5824,0,DELIVERY,Delivery,1PW,Forest Hills,NY,,,
476071,43469,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,1,9.6,0,DELIVERY,Delivery,1PW,Maspeth,NY,,,
476072,43469,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,1,79.08,0,DELIVERY,Delivery,1PW,Maspeth,NY,,,
489577,43739,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CHES,Verenis Cervantes,1,599.85,14.81,FEDEXG,FedEx Ground,1PW,Bartow,FL,,,
489915,43746,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,2,85.25,24.45,FEDEXG,FedEx Ground,1PW,New York,NY,,,
490166,43749,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,6,312.28,48.56,FEDEXG,FedEx Ground,2LA,San Francisco,CA,,,
476077,43469,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Verenis Cervantes,1,62.28,0,UPSG,UPS Ground,1PW,Tustin,CA,,SHIP VIA UPS ACCT# 5X6-190,
490285,43753,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSLA,Verenis Cervantes,1,790,59.91,FEDEXG,FedEx Ground,2LA,Sanramon,CA,,,
476079,43469,"PACIFIC NORTHERN, INC.",PACICAR,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,JGDI,Dee Erdei,1,14.95,0,UPS2,UPS 2nd Day Air,1PW,Carrollton,TX,,UPS ACCT # 56439W,
476080,43469,CENTRAL ELECTRIC SUPPLY,CENTRIC,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,STSC,Veronica Garcia,1,720,67.26,FEDEXG,FedEx Ground,2LA,Richfield,UT,,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CHARGES   
MAYBE DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS",
476081,43469,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Verenis Cervantes,1,31.92,0,UPSG,UPS Ground,1PW,Bellevue,WA,,SHIP VIA UPS ACCT# 5X6-190,
490941,43768,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CHES,Verenis Cervantes,12,7945.4,786.98,FEDEXG,FedEx Ground,1PW,Austin,TX,,,
491100,43770,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,61.75,10.95,FEDEXG,FedEx Ground,1PW,New York,NY,,,
491295,43775,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,12.35,0,FEDEXG,FedEx Ground,1PW,New York,NY,,"DO NOT CHARGE FREIGHT                             
",
491419,43777,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,IRAM,Verenis Cervantes,4,1719,37.74,FEDEXG,FedEx Ground,2LA,Jamaica,NY,,,
476086,43469,ALLIED TRADE GROUP,ALLIKIR,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,2,39.16,0,UPSG,UPS Ground,1PW,Lincoln,NE,,USE UPS ACCT# 442E1W,
476088,43469,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,53.7,0,UPSG,UPS Ground,1PW,Conway,SC,,SHIP VIA UPS ACCT # Y36935,
491445,43777,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,IRAC,Verenis Cervantes,3,778.5,17.77,FEDEXG,FedEx Ground,1PW,Mabelvale,AR,,,
491483,43780,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,36.25,9.49,FEDEXG,FedEx Ground,1PW,Middletown,NY,,,
491880,43787,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,IRAM,Verenis Cervantes,6,241.43,44.47,FEDEXG,FedEx Ground,2LA,Deerfield Beach,FL,,,
492055,43790,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,52.5,15.22,FEDEXG,FedEx Ground,2LA,Punta Gorda,FL,,,
492247,43795,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,0,0,FEDEXG,FedEx Ground,1PW,Dallas,OR,,"DO NOT CHARGE FREIGHT                             
",
476094,43469,WALTERS WHOLESALE,WALTER,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,FAAS,Maria Hernandez,1,183,0,UPSG,UPS Ground,1PW,Los Angeles,CA,,USE UPS# 790563,
492342,43796,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,37.05,10.95,FEDEXG,FedEx Ground,1PW,New York,NY,,,
492387,43796,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CHES,Verenis Cervantes,12,7374.86,786.98,FEDEXG,FedEx Ground,1PW,Austin,TX,,,
476097,43469,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,4.05,0,UPSG,UPS Ground,2LA,San Francisco,CA,,USE UPS ACCT#t3301T,
492501,43802,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,6.75,11.1,FEDEXG,FedEx Ground,1PW,Gurnee,IL,,,
492513,43802,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CHES,Verenis Cervantes,1,599.76,49.69,FEDEXG,FedEx Ground,1PW,Austin,TX,,,
476100,43469,VILLA LIGHTING SUPPLY,VILLALS,DIST,LIGHTING DISTRIBUTOR,GATE,Veronica Garcia,1,40,10.61,FEDEXG,FedEx Ground,1PW,Saint Louis,MO,,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CHARGES   
MAYBE DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS",
492660,43804,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,0,9.12,FEDEXG,FedEx Ground,1PW,New York,NY,,"DO NOT CHARGE FREIGHT                             
",
492803,43808,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,IRAC,Verenis Cervantes,3,504,17,FEDEXG,FedEx Ground,1PW,Mabelvale,AR,,,
476103,43469,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,2,39.6,0,UPSG,UPS Ground,1PW,El Paso,TX,,USE UPS ACCT#T3301T,
492838,43808,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,0,0,FEDEXG,FedEx Ground,1PW,Woodstock,IL,,"DO NOT CHARGE FREIGHT                             
",
